Round,BT_Score,GOAP_Score,BT_Fuel,GOAP_Fuel,GOAP_AvgPlan_ms,BT_Idle_s,GOAP_Idle_s,BT_Aborts,GOAP_Aborts,BT_Deaths,GOAP_Deaths,Avg_Delivery_Dist
1,9,15,1200,1200,0,12,12,1,15,0,0,0
2,5,8,1200,1000,3,0,0,1,16,0,1,59
3,9,14,1200,1200,2,0,0,1,17,0,0,54
4,4,11,1200,1200,2,0,0,0,16,0,0,60
5,9,14,1200,1200,3,0,0,3,16,0,0,54
6,6,14,1085,1200,2,0,1,0,16,1,0,53
7,10,10,1200,1079,2,0,0,2,17,0,1,54
8,2,11,1174,1200,2,0,0,2,16,1,0,58
9,4,9,1200,1200,2,0,0,0,17,0,0,52
10,6,11,1200,1200,2,0,0,1,16,0,0,60
11,5,10,1200,1152,3,0,0,1,18,0,1,55
12,7,13,1200,1200,2,0,0,2,16,0,0,53
13,5,15,1200,1200,1,0,1,3,18,0,0,53
14,6,10,1200,1000,3,0,0,2,15,0,1,54
15,5,12,1200,1200,2,0,0,1,15,0,0,53
16,9,14,1200,1200,2,0,0,2,17,0,0,60
17,4,9,1200,1200,2,0,0,2,18,0,0,58
18,0,11,1084,1200,3,0,0,1,17,1,0,58
19,5,10,1200,1200,2,0,0,1,16,0,0,59
20,7,13,1200,1200,2,0,0,4,16,0,0,56
21,6,12,1200,1200,2,0,0,3,16,0,0,52
22,6,11,1080,1085,0,0,1,2,17,1,1,56
23,7,14,1200,1200,3,0,0,1,15,0,0,51
24,3,10,1200,1200,3,0,0,1,16,0,0,57
25,4,10,1200,1153,2,0,0,2,18,0,1,56
